age,gender,education,marital_status,num_dependents,income,employment_type,employment_years,credit_score,existing_loans,monthly_expenses,savings_balance,previous_defaults,has_co_applicant,loan_amount,loan_term_months,property_value,loan_purpose,loan_approved
21,Female,Bachelor,Married,1,,Self-Employed,0.0,,0,3398.0,18620.0,0,0,45955.0,36,78781.0,Home,0
29,Male,Master,Married,1,87685.0,Self-Employed,4.0,638.0,1,4325.0,104170.0,0,0,181804.0,48,222542.0,Personal,1
36,Male,Bachelor,Single,3,,Salaried,2.0,643.0,2,4317.0,3184.0,0,1,141285.0,240,243704.0,Home,1
23,Male,Master,Divorced,1,28200.0,Salaried,1.0,782.0,4,1016.0,3684.0,0,1,17410.0,360,43121.0,Home,1
38,Male,Bachelor,Married,3,60129.0,Business Owner,13.0,639.0,1,3272.0,8437.0,0,0,127338.0,24,233873.0,Education,0
28,Male,High School,Single,0,30310.0,Salaried,2.0,673.0,0,864.0,4230.0,0,0,18823.0,360,43445.0,Car,0
32,Female,Master,Married,1,25223.0,Self-Employed,6.0,644.0,1,1718.0,1111.0,0,0,40475.0,120,45840.0,Personal,0
28,Male,Bachelor,Married,4,58660.0,Salaried,0.0,601.0,1,2971.0,3203.0,1,0,120421.0,60,283364.0,Car,0
53,Male,PhD,Single,1,50956.0,Salaried,21.0,597.0,0,1789.0,1792.0,1,0,152687.0,36,280516.0,Business,0
34,Male,Bachelor,Married,2,86898.0,Business Owner,6.0,704.0,1,3236.0,7531.0,0,1,155357.0,36,281186.0,Home,0
24,Female,PhD,Single,1,35045.0,Business Owner,0.0,677.0,1,1361.0,4738.0,1,0,45400.0,120,54780.0,Personal,0
43,Female,PhD,Married,1,38966.0,Salaried,6.0,741.0,0,1905.0,659.0,0,1,67412.0,48,113608.0,Home,1
22,Male,High School,Married,2,54488.0,Salaried,0.0,660.0,0,3180.0,6460.0,3,1,53902.0,12,93077.0,Business,0
37,Female,Master,Married,1,27080.0,Salaried,,663.0,1,1203.0,3072.0,0,0,43189.0,360,52258.0,Business,0
21,Female,Bachelor,Married,0,29025.0,Salaried,0.0,741.0,1,1196.0,1877.0,0,1,77865.0,120,117059.0,Business,0
21,Male,PhD,Single,1,85652.0,Self-Employed,0.0,650.0,1,2680.0,1861.0,0,0,71974.0,180,166857.0,Business,1
36,Male,Bachelor,Single,0,37254.0,Self-Employed,2.0,564.0,0,1027.0,422.0,0,1,68002.0,120,71404.0,Education,0
42,Female,Master,Single,1,75261.0,Freelancer,11.0,747.0,1,3241.0,399.0,0,0,154436.0,180,,Business,0
36,Female,Bachelor,Married,3,56451.0,Freelancer,2.0,625.0,3,3480.0,,0,0,72399.0,12,157286.0,Home,0
33,Female,High School,Married,1,19220.0,Salaried,2.0,685.0,0,,153.0,0,0,44970.0,48,110248.0,Home,0
31,Female,High School,Divorced,2,54321.0,Freelancer,1.0,629.0,1,2365.0,8005.0,0,0,117293.0,360,233078.0,Home,0
21,Female,Bachelor,Single,0,54107.0,Freelancer,0.0,602.0,2,1514.0,69.0,0,0,89816.0,360,95245.0,Education,0
27,Male,Master,Married,1,,Self-Employed,1.0,528.0,3,3171.0,4317.0,0,0,127195.0,360,264395.0,Home,0
30,Male,Bachelor,Married,2,45663.0,Business Owner,2.0,707.0,0,2078.0,393.0,2,0,118754.0,360,248636.0,Business,0
45,Male,Master,Married,0,30637.0,Freelancer,3.0,408.0,3,1146.0,5085.0,1,1,61305.0,24,110697.0,Home,0
38,Male,Bachelor,Divorced,1,96096.0,Self-Employed,6.0,783.0,2,4723.0,64935.0,0,0,184695.0,24,289364.0,Business,1
21,Female,Bachelor,Single,2,39604.0,Business Owner,3.0,762.0,0,2316.0,3920.0,0,0,81329.0,360,134964.0,Home,1
38,Female,High School,Single,1,26789.0,Self-Employed,2.0,607.0,1,1306.0,5766.0,1,1,58639.0,12,141778.0,Home,0
31,Female,Master,Married,2,52376.0,Self-Employed,3.0,807.0,2,2662.0,6447.0,0,0,78976.0,240,184100.0,Personal,1
28,Male,PhD,Single,0,33813.0,Salaried,0.0,844.0,0,,241.0,0,1,87644.0,240,124999.0,Home,1
41,Female,Bachelor,Single,3,25924.0,Business Owner,,658.0,2,2524.0,4736.0,0,0,72840.0,60,80932.0,Personal,0
45,Male,High School,Single,2,,Salaried,4.0,712.0,1,,4895.0,1,0,83480.0,240,,Business,0
44,Male,High School,Single,0,35147.0,Self-Employed,6.0,690.0,0,1370.0,,0,0,95488.0,120,171830.0,Home,0
26,Female,Master,Married,1,,Self-Employed,1.0,801.0,1,1498.0,1803.0,1,0,62361.0,36,122252.0,Personal,0
31,Female,Bachelor,Single,1,62360.0,Self-Employed,3.0,568.0,1,2076.0,1572.0,0,1,97120.0,240,234621.0,Business,0
38,Female,Master,Married,1,,Self-Employed,0.0,661.0,1,,3413.0,0,0,68491.0,48,165359.0,Car,1
44,Male,Bachelor,Married,0,91687.0,Self-Employed,18.0,753.0,0,,27596.0,3,0,176527.0,36,396356.0,Personal,0
30,Male,Master,Married,3,31976.0,Salaried,5.0,745.0,2,2434.0,581.0,0,1,91056.0,360,127241.0,Home,1
33,Male,Master,Divorced,1,20665.0,Business Owner,,676.0,1,1210.0,968.0,0,0,43813.0,120,,Business,0
23,Male,Bachelor,Single,0,52806.0,Self-Employed,3.0,791.0,2,1583.0,1874.0,0,0,93538.0,36,212396.0,Car,0
23,Female,Bachelor,Divorced,0,105395.0,Business Owner,2.0,,2,3284.0,7846.0,2,0,85211.0,240,85324.0,Home,0
43,Female,High School,Married,1,54337.0,Salaried,,689.0,0,2782.0,9785.0,0,0,117759.0,240,189926.0,Education,1
48,Female,Bachelor,Married,0,207973.0,Self-Employed,5.0,735.0,3,5970.0,15606.0,0,0,392406.0,24,576643.0,Home,0
34,Male,Master,Married,4,57874.0,Freelancer,6.0,675.0,2,2747.0,29232.0,0,0,164942.0,24,373742.0,Personal,0
45,Female,Bachelor,Married,1,46875.0,Salaried,5.0,684.0,1,2287.0,,2,0,63519.0,36,73789.0,Car,0
38,Male,Master,Divorced,4,16685.0,Freelancer,9.0,617.0,2,2093.0,2621.0,0,0,41522.0,240,80271.0,Home,0
28,Female,Bachelor,Divorced,1,51609.0,Salaried,0.0,850.0,1,2776.0,1641.0,0,0,62256.0,180,109805.0,Home,0
38,Male,High School,Single,1,53334.0,Self-Employed,8.0,642.0,3,2376.0,674.0,0,0,49570.0,360,118353.0,Home,1
50,Male,Bachelor,Single,1,39986.0,Self-Employed,,738.0,1,1748.0,,0,0,21211.0,240,36299.0,Education,1
34,Male,Bachelor,Married,0,45780.0,Self-Employed,0.0,832.0,1,1299.0,1915.0,0,1,125370.0,60,139830.0,Education,0
50,Female,Bachelor,Divorced,1,40272.0,Self-Employed,16.0,572.0,0,2103.0,736.0,0,0,64900.0,24,151478.0,Education,0
21,Male,High School,Single,1,44803.0,Salaried,0.0,728.0,2,2508.0,1300.0,0,0,53897.0,180,102499.0,Personal,0
43,Male,Bachelor,Married,3,139365.0,Self-Employed,3.0,681.0,2,7191.0,,0,0,210142.0,120,420802.0,Personal,1
35,Female,High School,Married,0,34615.0,Salaried,11.0,823.0,0,1139.0,12587.0,0,1,78909.0,36,164135.0,Education,1
32,Male,High School,Married,1,53351.0,Self-Employed,2.0,607.0,1,2467.0,26799.0,0,0,79128.0,360,177380.0,Personal,1
35,Male,Bachelor,Married,1,40056.0,Salaried,5.0,619.0,1,1791.0,,1,1,42632.0,120,89873.0,Business,0
21,Male,Bachelor,Married,1,72527.0,Self-Employed,0.0,676.0,2,3665.0,3312.0,2,0,52181.0,240,72317.0,Home,0
32,Male,PhD,Divorced,0,53550.0,Self-Employed,6.0,640.0,0,1954.0,4234.0,3,0,110008.0,180,268103.0,Personal,0
38,Female,Bachelor,Married,0,36225.0,Freelancer,12.0,643.0,0,1120.0,376.0,2,0,106201.0,24,129360.0,Car,0
49,Female,Master,Married,1,,Self-Employed,17.0,842.0,2,885.0,1334.0,2,1,33195.0,36,53827.0,Car,0
29,Male,Bachelor,Single,1,55362.0,Salaried,2.0,690.0,3,2159.0,,1,1,158734.0,180,285506.0,Business,0
26,Female,Master,Married,0,35692.0,Self-Employed,1.0,617.0,3,,24979.0,1,0,96190.0,60,103954.0,Education,0
29,Male,Bachelor,Single,1,47554.0,Self-Employed,0.0,648.0,1,1712.0,1454.0,0,0,42304.0,24,50215.0,Home,0
44,Male,PhD,Single,2,27140.0,Salaried,16.0,712.0,4,1411.0,1493.0,0,0,73213.0,48,,Home,0
38,Male,Bachelor,Married,2,100372.0,Salaried,12.0,706.0,0,4242.0,77887.0,0,1,50459.0,36,116323.0,Business,1
29,Male,Master,Married,0,75234.0,Self-Employed,2.0,633.0,3,2534.0,1534.0,1,1,133472.0,180,,Car,0
40,Male,Bachelor,Married,1,100243.0,Salaried,6.0,549.0,0,3835.0,7635.0,0,0,181118.0,24,,Home,0
35,Female,High School,Single,2,73937.0,Salaried,4.0,675.0,1,3438.0,12012.0,0,0,171316.0,120,359634.0,Home,0
44,Female,Master,Married,2,56029.0,Salaried,9.0,673.0,1,3286.0,1544.0,1,0,133912.0,12,225565.0,Education,0
27,Male,High School,Married,2,27690.0,Salaried,0.0,628.0,2,2038.0,5895.0,1,0,29882.0,120,37014.0,Business,0
31,Female,Bachelor,Married,4,104733.0,Salaried,0.0,782.0,2,5235.0,4265.0,0,1,283309.0,24,521927.0,Home,0
31,Female,High School,Single,2,26203.0,Self-Employed,5.0,725.0,1,2109.0,1410.0,0,1,24834.0,24,39162.0,Home,1
21,Female,Bachelor,Married,1,36434.0,Salaried,2.0,690.0,3,1586.0,,2,0,105793.0,60,208683.0,Car,0
37,Female,PhD,Married,1,59333.0,Salaried,8.0,651.0,3,2945.0,4369.0,1,0,175792.0,12,434289.0,Home,0
37,Male,Bachelor,Single,0,71558.0,Salaried,4.0,818.0,1,3007.0,1301.0,0,0,160433.0,360,,Business,1
35,Female,Master,Single,1,55470.0,Self-Employed,7.0,587.0,1,1836.0,833.0,1,0,117690.0,36,208162.0,Car,0
32,Female,Bachelor,Married,1,34109.0,Business Owner,4.0,640.0,0,1916.0,6422.0,0,1,100553.0,12,192962.0,Car,0
21,Female,Bachelor,Married,0,30761.0,Self-Employed,0.0,643.0,2,,3460.0,0,1,33991.0,240,73447.0,Home,0
30,Male,PhD,Married,1,174079.0,Self-Employed,8.0,703.0,1,8770.0,2030.0,0,1,366723.0,24,493226.0,Personal,1
31,Male,Master,Married,0,,Self-Employed,4.0,732.0,2,2025.0,383.0,0,1,72840.0,240,87620.0,Car,1
26,Male,Master,Married,2,45211.0,Salaried,0.0,573.0,2,2639.0,,1,1,41546.0,180,77439.0,Education,0
33,Male,Bachelor,Married,2,34311.0,Salaried,2.0,625.0,1,1800.0,12478.0,0,0,28115.0,24,59558.0,Home,0
39,Male,Bachelor,Single,0,55400.0,Salaried,0.0,715.0,3,1608.0,,0,1,124701.0,24,203697.0,Home,0
53,Female,High School,Single,1,46004.0,Salaried,,626.0,3,1791.0,4378.0,0,0,49337.0,180,63678.0,Education,0
36,Male,Bachelor,Married,2,48624.0,Salaried,5.0,647.0,1,2348.0,384.0,0,0,97170.0,180,190174.0,Home,0
37,Female,Bachelor,Single,1,50430.0,Self-Employed,3.0,693.0,2,2172.0,,0,1,55172.0,48,111179.0,Education,0
34,Male,Master,Divorced,0,118393.0,Salaried,6.0,601.0,1,4904.0,27081.0,0,0,193521.0,240,422453.0,Business,1
21,Female,Master,Married,2,30944.0,Business Owner,0.0,702.0,0,1776.0,542.0,1,0,72898.0,36,137003.0,Car,0
34,Male,Bachelor,Divorced,1,,Business Owner,5.0,729.0,3,2651.0,1193.0,0,1,91177.0,120,,Home,1
35,Male,High School,Divorced,0,35456.0,Business Owner,0.0,683.0,2,1518.0,1720.0,0,0,94975.0,48,126191.0,Education,0
59,Female,Master,Married,2,48282.0,Salaried,14.0,794.0,1,2663.0,1099.0,0,1,87667.0,48,93255.0,Home,1
33,Female,High School,Married,0,31358.0,Business Owner,1.0,738.0,2,1433.0,7447.0,0,1,30906.0,60,49487.0,Business,1
38,Female,Bachelor,Single,1,32040.0,Freelancer,0.0,676.0,2,1878.0,1899.0,0,0,87877.0,48,189399.0,Home,0
34,Male,High School,Single,2,23629.0,Business Owner,6.0,654.0,2,1978.0,5647.0,0,0,36501.0,36,77722.0,Business,0
23,Male,Bachelor,Married,5,51477.0,Self-Employed,0.0,820.0,1,2793.0,2193.0,1,0,137374.0,60,331482.0,Home,0
46,Female,PhD,Single,0,51656.0,Freelancer,16.0,627.0,1,2096.0,26354.0,1,1,55838.0,60,57352.0,Business,0
42,Male,High School,Divorced,3,124273.0,Salaried,7.0,658.0,1,4096.0,712.0,0,1,259783.0,240,328608.0,Home,1
42,Female,Bachelor,Married,1,,Salaried,5.0,647.0,1,2499.0,1578.0,0,0,48117.0,120,95841.0,Personal,0
25,Male,Bachelor,Married,1,39150.0,Salaried,,711.0,3,1261.0,6155.0,0,1,27411.0,48,49687.0,Car,1
49,Male,PhD,Single,2,24838.0,Business Owner,3.0,850.0,0,1685.0,422.0,0,0,74445.0,120,154633.0,Car,1
21,Male,Master,Married,1,26618.0,Salaried,0.0,699.0,1,1336.0,269.0,1,1,14009.0,24,22177.0,Business,0
40,Male,High School,Single,0,25647.0,Salaried,8.0,654.0,3,757.0,110.0,0,0,50732.0,36,77575.0,Business,0
56,Female,High School,Married,1,106564.0,Business Owner,21.0,695.0,0,4129.0,9711.0,1,0,56860.0,60,116458.0,Education,1
25,Female,Bachelor,Single,0,48116.0,Salaried,2.0,574.0,1,2197.0,11089.0,2,1,90425.0,60,145854.0,Business,0
29,Male,Bachelor,Married,3,36626.0,Business Owner,5.0,664.0,0,2425.0,1243.0,0,0,27461.0,60,38134.0,Personal,1
35,Female,Master,Single,4,25785.0,Freelancer,6.0,816.0,2,2706.0,3581.0,0,0,63659.0,120,92459.0,Car,1
29,Male,High School,Single,2,31950.0,Salaried,4.0,732.0,1,1489.0,32866.0,0,0,39354.0,36,52312.0,Business,0
21,Male,High School,Married,0,36147.0,Salaried,1.0,778.0,2,,8383.0,0,1,49190.0,240,50016.0,Car,1
35,Male,Master,Single,0,,Self-Employed,7.0,761.0,4,2827.0,18536.0,0,0,107048.0,240,218157.0,Business,1
24,Female,High School,Married,0,,Business Owner,0.0,,3,1423.0,,0,0,32215.0,60,67722.0,Education,0
39,Female,Master,Single,0,20206.0,Business Owner,13.0,832.0,1,773.0,642.0,0,0,35377.0,120,,Personal,1
25,Female,High School,Single,1,132284.0,Salaried,0.0,537.0,1,4003.0,13008.0,0,0,214191.0,240,271802.0,Education,0
50,Female,High School,Married,2,23562.0,Salaried,13.0,706.0,3,1930.0,1300.0,0,0,43556.0,120,103269.0,Personal,0
27,Female,PhD,Single,1,31009.0,Salaried,5.0,515.0,2,1492.0,3609.0,0,0,64026.0,48,95839.0,Home,0
31,Female,Bachelor,Married,2,80222.0,Freelancer,6.0,542.0,0,3360.0,,0,1,57889.0,120,135560.0,Business,1
43,Female,Master,Married,2,51279.0,Salaried,0.0,754.0,2,,1215.0,0,1,78650.0,360,110772.0,Personal,1
22,Female,High School,Single,2,32942.0,Salaried,0.0,624.0,3,2485.0,9874.0,0,0,65270.0,36,69393.0,Education,0
37,Male,Bachelor,Single,1,26484.0,Freelancer,8.0,779.0,1,1682.0,93.0,1,0,34636.0,240,61555.0,Home,0
48,Male,Master,Single,1,,Self-Employed,,506.0,4,1411.0,550.0,0,1,29581.0,360,53110.0,Education,0
21,Male,Bachelor,Married,2,,Salaried,0.0,672.0,2,1587.0,1244.0,0,0,62800.0,180,,Car,0
36,Male,Master,Married,1,49193.0,Freelancer,4.0,,0,2772.0,183.0,1,0,112949.0,48,226468.0,Home,0
37,Female,Bachelor,Married,1,,Self-Employed,6.0,653.0,1,1467.0,6314.0,1,1,108947.0,24,243985.0,Business,0
42,Male,Bachelor,Married,3,45509.0,Self-Employed,11.0,803.0,1,2609.0,4693.0,0,0,59800.0,60,136317.0,Personal,1
22,Female,Bachelor,Single,1,40858.0,Self-Employed,2.0,823.0,7,1574.0,119.0,0,0,30537.0,24,52881.0,Business,0
21,Male,Bachelor,Married,2,28988.0,Self-Employed,1.0,721.0,2,1698.0,1011.0,1,0,80846.0,60,190992.0,Education,0
40,Male,High School,Married,2,56758.0,Self-Employed,5.0,552.0,3,3697.0,2214.0,0,0,125975.0,48,262731.0,Car,0
37,Male,Bachelor,Married,2,92991.0,Business Owner,5.0,583.0,1,4463.0,14061.0,1,0,266988.0,60,310755.0,Car,0
37,Female,Bachelor,Divorced,3,38410.0,Self-Employed,3.0,692.0,3,2645.0,6625.0,0,0,33183.0,48,45590.0,Personal,0
38,Male,Bachelor,Married,0,44750.0,Self-Employed,6.0,615.0,0,1187.0,,0,1,95905.0,240,110681.0,Home,0
28,Male,Master,Divorced,1,51097.0,Self-Employed,4.0,732.0,2,1932.0,14238.0,0,1,50631.0,48,,Home,1
37,Female,Bachelor,Single,2,72881.0,Self-Employed,10.0,814.0,1,2802.0,5720.0,3,0,194306.0,24,259377.0,Home,0
37,Female,PhD,Single,2,26638.0,Salaried,,,3,1781.0,14657.0,3,0,47917.0,120,115645.0,Home,0
27,Male,Bachelor,Single,1,101257.0,Salaried,0.0,608.0,1,4625.0,13946.0,0,1,185469.0,180,434005.0,Car,1
53,Male,Bachelor,Married,3,60512.0,Self-Employed,10.0,,5,3111.0,3261.0,0,0,171057.0,48,375071.0,Personal,0
39,Male,Master,Single,1,49728.0,Salaried,9.0,659.0,0,1906.0,38807.0,1,1,62663.0,120,145143.0,Business,1
23,Female,Bachelor,Single,3,76427.0,Salaried,0.0,684.0,1,4629.0,1421.0,0,0,156486.0,48,354261.0,Education,0
41,Male,Bachelor,Married,2,27145.0,Freelancer,,681.0,1,1623.0,1827.0,0,0,23366.0,36,29512.0,Car,0
25,Male,High School,Single,3,63641.0,Salaried,0.0,751.0,2,,5024.0,0,1,89602.0,60,101860.0,Car,1
42,Male,Bachelor,Single,1,,Self-Employed,6.0,711.0,2,2617.0,7627.0,2,0,59991.0,180,122829.0,Car,0
46,Male,Bachelor,Single,1,30707.0,Self-Employed,17.0,675.0,1,1247.0,880.0,0,0,30807.0,36,46621.0,Home,1
26,Female,PhD,Divorced,0,52459.0,Salaried,1.0,683.0,2,1813.0,1180.0,0,0,112930.0,180,218989.0,Personal,0
44,Male,Bachelor,Single,1,56480.0,Salaried,0.0,686.0,2,3043.0,18076.0,0,0,68691.0,240,134029.0,Home,0
39,Male,Master,Married,1,44829.0,Salaried,13.0,675.0,2,2186.0,460.0,0,0,50548.0,360,115590.0,Personal,1
43,Male,Master,Married,1,,Salaried,5.0,625.0,3,3531.0,27091.0,0,0,190169.0,36,236293.0,Personal,0
53,Male,Bachelor,Married,2,36832.0,Salaried,14.0,583.0,1,2315.0,1865.0,2,0,62045.0,36,144418.0,Business,0
32,Male,Bachelor,Single,3,56115.0,Salaried,1.0,,1,2337.0,4695.0,1,0,81365.0,240,120977.0,Home,0
27,Female,Master,Married,4,39012.0,Self-Employed,3.0,640.0,1,,,0,0,99007.0,120,231298.0,Home,0
26,Female,Master,Married,1,30642.0,Self-Employed,2.0,722.0,2,,1279.0,0,0,52758.0,24,68871.0,Home,0
26,Female,High School,Married,1,53579.0,Freelancer,5.0,685.0,4,2860.0,13996.0,0,0,135949.0,60,,Business,0
34,Female,Bachelor,Single,0,37556.0,Self-Employed,,681.0,3,1141.0,1090.0,1,0,48679.0,180,93641.0,Education,0
38,Female,Bachelor,Single,0,19949.0,Salaried,5.0,,1,974.0,81.0,0,0,57947.0,36,136511.0,Business,0
37,Male,High School,Divorced,0,19919.0,Salaried,,567.0,0,895.0,1229.0,3,0,55955.0,360,96815.0,Home,0
43,Female,Bachelor,Married,1,61821.0,Salaried,13.0,821.0,2,,1164.0,0,0,158200.0,240,177769.0,Car,1
35,Female,Master,Married,0,22633.0,Business Owner,5.0,505.0,0,656.0,323.0,1,1,23354.0,60,53840.0,Education,0
49,Female,Bachelor,Married,1,47914.0,Business Owner,14.0,796.0,2,1740.0,1021.0,0,1,111100.0,180,194015.0,Home,1
32,Male,Master,Divorced,1,50386.0,Salaried,1.0,696.0,2,1887.0,72884.0,2,0,128183.0,24,225346.0,Business,0
62,Male,Bachelor,Married,0,,Self-Employed,7.0,638.0,1,1691.0,1778.0,0,1,57424.0,36,76030.0,Car,1
41,Female,Bachelor,Married,0,110836.0,Business Owner,7.0,562.0,1,4212.0,3077.0,0,0,94305.0,180,,Education,0
26,Female,High School,Divorced,2,,Freelancer,0.0,632.0,1,2602.0,9313.0,0,0,53520.0,48,102479.0,Car,0
24,Female,Master,Married,1,60797.0,Self-Employed,0.0,666.0,2,1962.0,7890.0,0,0,119406.0,36,196535.0,Home,0
39,Male,Master,Single,2,56523.0,Salaried,2.0,695.0,1,2334.0,18497.0,1,1,63839.0,36,77992.0,Personal,0
32,Male,Master,Single,2,43661.0,Salaried,5.0,795.0,1,2513.0,22154.0,0,0,94050.0,120,231915.0,Personal,1
42,Male,High School,Married,1,48555.0,Freelancer,5.0,685.0,4,2531.0,111065.0,0,0,71845.0,12,76881.0,Personal,0
39,Female,High School,Married,4,86400.0,Freelancer,6.0,705.0,1,4840.0,1634.0,0,0,91926.0,24,97910.0,Car,0
34,Male,High School,Married,1,84461.0,Self-Employed,3.0,708.0,0,2911.0,21077.0,1,0,171693.0,36,423724.0,Business,0
26,Male,Bachelor,Married,3,130091.0,Salaried,3.0,653.0,0,4858.0,2562.0,3,1,89037.0,240,118608.0,Car,0
21,Female,Master,Married,2,46550.0,Business Owner,0.0,664.0,3,2351.0,2017.0,1,0,95990.0,240,98016.0,Car,0
30,Male,High School,Married,0,31619.0,Freelancer,2.0,671.0,2,1288.0,,0,0,92833.0,36,148187.0,Home,0
43,Female,Master,Married,0,33430.0,Salaried,12.0,730.0,2,1177.0,2150.0,2,1,76172.0,60,101151.0,Car,0
37,Male,Bachelor,Single,4,27068.0,Salaried,10.0,,0,2686.0,2647.0,0,0,35735.0,48,78928.0,Home,0
22,Female,Master,Divorced,2,61144.0,Self-Employed,2.0,639.0,2,2554.0,2683.0,2,1,168342.0,24,232345.0,Home,0
36,Female,PhD,Married,1,31086.0,Salaried,9.0,708.0,4,1336.0,462.0,0,1,56564.0,36,125898.0,Home,1
38,Female,High School,Married,1,9043.0,Salaried,10.0,593.0,0,564.0,1661.0,1,1,16467.0,12,29577.0,Business,0
26,Female,PhD,Single,0,,Salaried,5.0,689.0,3,5231.0,1396.0,0,0,206493.0,360,455845.0,Personal,1
36,Male,High School,Single,3,36853.0,Business Owner,4.0,636.0,2,2270.0,18245.0,0,0,23236.0,120,44633.0,Home,1
35,Male,Bachelor,Married,2,,Freelancer,5.0,720.0,1,2614.0,1967.0,0,0,43168.0,24,92107.0,Car,1
23,Male,Master,Married,1,113074.0,Salaried,0.0,789.0,0,3724.0,29979.0,0,1,287858.0,180,486051.0,Business,1
38,Female,PhD,Married,2,22773.0,Business Owner,0.0,636.0,1,1262.0,,0,0,26174.0,120,42707.0,Education,0
40,Female,Bachelor,Married,0,73554.0,Self-Employed,13.0,740.0,2,,5716.0,1,0,112605.0,36,189345.0,Personal,0
45,Male,Bachelor,Married,0,36544.0,Salaried,14.0,696.0,0,1122.0,438.0,0,0,76193.0,60,161139.0,Business,1
45,Female,Master,Married,1,21495.0,Business Owner,11.0,649.0,1,1349.0,7373.0,0,0,25924.0,120,43125.0,Personal,0
21,Male,Master,Single,0,115019.0,Self-Employed,0.0,680.0,1,4459.0,4598.0,0,0,290951.0,48,418309.0,Car,0
25,Female,High School,Married,0,66106.0,Freelancer,5.0,783.0,0,2320.0,645.0,0,0,181579.0,360,402366.0,Car,1
40,Female,Master,Married,0,66004.0,Self-Employed,2.0,666.0,1,,,1,0,43181.0,24,70049.0,Home,0
40,Male,Bachelor,Married,1,58913.0,Self-Employed,11.0,,2,2728.0,8527.0,0,0,114083.0,24,190585.0,Home,0
40,Male,Bachelor,Married,2,66141.0,Salaried,7.0,670.0,0,3856.0,,0,1,90849.0,240,102061.0,Car,1
65,Male,Bachelor,Married,3,26474.0,Salaried,15.0,567.0,1,,447.0,0,1,49925.0,36,,Car,0
40,Female,Bachelor,Divorced,1,44059.0,Self-Employed,13.0,668.0,1,1868.0,16271.0,0,0,82260.0,24,183753.0,Personal,0
46,Male,PhD,Single,0,30810.0,Business Owner,15.0,560.0,2,1352.0,8579.0,0,0,16173.0,48,32374.0,Car,1
44,Male,Bachelor,Married,0,,Self-Employed,13.0,654.0,0,917.0,1349.0,0,1,51919.0,36,62177.0,Personal,0
